ip	num_assoc	res_definite	res_most_definite	res_btc_definite	res_probable	res_improbable	res_starke	res_scheitle	res_keyscan
2002:c003:b9d2::c003:b9d2	1	NEGATIVE	NEGATIVE	NEGATIVE	INDECISIVE	NEGATIVE	CONFLICT	POSITIVE	INDECISIVE
2001:648:2ffc:108:dcdb:eeff:fe7b:9cce	9	CONFLICT	CONFLICT	NEGATIVE	POSITIVE	NEGATIVE	CONFLICT	INDECISIVE	CONFLICT
2001:1bc0:cc::a001	33	CONFLICT	CONFLICT	NEGATIVE	INDECISIVE	NEGATIVE	CONFLICT	POSITIVE	CONFLICT
2600:6c40:5900:2863:201:2eff:fe6c:82eb	1	NEGATIVE	NEGATIVE	NEGATIVE	INDECISIVE	INDECISIVE	CONFLICT	POSITIVE	INDECISIVE
2607:5300:60:24d2::42:5443	27	NEGATIVE	NEGATIVE	NEGATIVE	INDECISIVE	NEGATIVE	CONFLICT	POSITIVE	INDECISIVE
2601:600:9d80:2d14::84c2:c698	0	NEGATIVE	NEGATIVE	NEGATIVE	INDECISIVE	NEGATIVE	NEGATIVE	INDECISIVE	INDECISIVE
2a02:7b40:50d1:e77e::1	26	NEGATIVE	NEGATIVE	NEGATIVE	POSITIVE	INDECISIVE	CONFLICT	POSITIVE	INDECISIVE
2002:5dbe:8c0e::5dbe:8c0e	1	NEGATIVE	NEGATIVE	NEGATIVE	INDECISIVE	NEGATIVE	CONFLICT	POSITIVE	INDECISIVE
2a01:4f8:150:630d::2	7	NEGATIVE	NEGATIVE	NEGATIVE	INDECISIVE	NEGATIVE	CONFLICT	POSITIVE	INDECISIVE
2a01:cb00:d3d:7700:227:eff:fe28:c565	0	NEGATIVE	NEGATIVE	NEGATIVE	INDECISIVE	NEGATIVE	NEGATIVE	INDECISIVE	NEGATIVE
2a03:b0c0:1:e0::2d1:6001	1	CONFLICT	CONFLICT	NEGATIVE	INDECISIVE	NEGATIVE	CONFLICT	INDECISIVE	CONFLICT
2a01:4f8:151:5149::2	1	NEGATIVE	NEGATIVE	NEGATIVE	POSITIVE	INDECISIVE	CONFLICT	INDECISIVE	INDECISIVE
2001:41d0:604:3::	1	CONFLICT	CONFLICT	NEGATIVE	INDECISIVE	NEGATIVE	CONFLICT	INDECISIVE	CONFLICT
2a01:4f9:2a:8d9::2	36	NEGATIVE	NEGATIVE	NEGATIVE	INDECISIVE	INDECISIVE	CONFLICT	POSITIVE	INDECISIVE
2600:3c04::f03c:92ff:fee2:9c8d	16	CONFLICT	CONFLICT	NEGATIVE	INDECISIVE	NEGATIVE	CONFLICT	INDECISIVE	CONFLICT
2c0f:fce8:0:400:b7c::1	0	NEGATIVE	NEGATIVE	NEGATIVE	INDECISIVE	INDECISIVE	NEGATIVE	INDECISIVE	INDECISIVE
2a02:7b40:b0df:8bf3::1	18	NEGATIVE	NEGATIVE	NEGATIVE	POSITIVE	NEGATIVE	CONFLICT	POSITIVE	INDECISIVE
2001:67c:2f0::20:fa	34	NEGATIVE	NEGATIVE	NEGATIVE	POSITIVE	NEGATIVE	CONFLICT	POSITIVE	INDECISIVE
2a01:e0a:2d1:c4e0:dcaf:42df:10b1:646d	1	NEGATIVE	NEGATIVE	NEGATIVE	INDECISIVE	NEGATIVE	CONFLICT	INDECISIVE	NEGATIVE
2a01:4f8:171:29eb::2	1	NEGATIVE	NEGATIVE	NEGATIVE	INDECISIVE	INDECISIVE	CONFLICT	INDECISIVE	INDECISIVE
2002:88f3:2a9c::88f3:2a9c	1	NEGATIVE	NEGATIVE	NEGATIVE	INDECISIVE	NEGATIVE	CONFLICT	POSITIVE	INDECISIVE
2607:5300:60:476d::	1	NEGATIVE	NEGATIVE	NEGATIVE	INDECISIVE	NEGATIVE	CONFLICT	INDECISIVE	INDECISIVE
2a01:4f8:200:24bb::2	11	NEGATIVE	NEGATIVE	NEGATIVE	INDECISIVE	NEGATIVE	CONFLICT	POSITIVE	INDECISIVE
2600:1700:22f1:641f:e8:39c8:eb1d:a1eb	0	NEGATIVE	NEGATIVE	NEGATIVE	INDECISIVE	NEGATIVE	NEGATIVE	INDECISIVE	INDECISIVE
2a07:5741:0:4e4::1	0	NEGATIVE	NEGATIVE	NEGATIVE	INDECISIVE	NEGATIVE	NEGATIVE	INDECISIVE	NEGATIVE
2a01:4f8:140:708a::2	0	NEGATIVE	NEGATIVE	NEGATIVE	INDECISIVE	INDECISIVE	NEGATIVE	INDECISIVE	INDECISIVE
2a00:7143:3::227	1	CONFLICT	CONFLICT	NEGATIVE	INDECISIVE	INDECISIVE	CONFLICT	INDECISIVE	CONFLICT
2a02:8389:1c0:9680:201:2eff:fe82:b3cc	0	NEGATIVE	NEGATIVE	NEGATIVE	INDECISIVE	NEGATIVE	NEGATIVE	INDECISIVE	NEGATIVE
2002:c0d2:c622::c0d2:c622	1	NEGATIVE	NEGATIVE	NEGATIVE	INDECISIVE	INDECISIVE	CONFLICT	POSITIVE	INDECISIVE
2001:4ba0:fffa:5d::93	0	NEGATIVE	NEGATIVE	NEGATIVE	POSITIVE	INDECISIVE	NEGATIVE	INDECISIVE	INDECISIVE
2607:f2f8:ad40:bc1::1	4	NEGATIVE	NEGATIVE	NEGATIVE	POSITIVE	NEGATIVE	CONFLICT	INDECISIVE	INDECISIVE
2a01:4f9:c010:5a67::1	1	NEGATIVE	NEGATIVE	NEGATIVE	INDECISIVE	NEGATIVE	CONFLICT	INDECISIVE	INDECISIVE
2607:5300:60:1964::1	2	NEGATIVE	NEGATIVE	NEGATIVE	INDECISIVE	INDECISIVE	CONFLICT	POSITIVE	INDECISIVE
2a02:2149:88e9:8e00:210:5aff:fea2:e07a	3	NEGATIVE	NEGATIVE	NEGATIVE	INDECISIVE	NEGATIVE	CONFLICT	INDECISIVE	INDECISIVE
2607:f2c0:ec98:5:dea6:32ff:fe0a:9687	0	NEGATIVE	NEGATIVE	NEGATIVE	INDECISIVE	NEGATIVE	NEGATIVE	INDECISIVE	NEGATIVE
2a01:4f9:2b:2ace::2	1	CONFLICT	CONFLICT	NEGATIVE	INDECISIVE	NEGATIVE	CONFLICT	INDECISIVE	CONFLICT
2001:41d0:8:d941::1	1	CONFLICT	CONFLICT	NEGATIVE	INDECISIVE	INDECISIVE	CONFLICT	INDECISIVE	CONFLICT
2a01:4f9:2a:201b::2	27	CONFLICT	CONFLICT	NEGATIVE	INDECISIVE	NEGATIVE	CONFLICT	POSITIVE	CONFLICT
2a01:4f8:13b:17e5::2	1	NEGATIVE	NEGATIVE	NEGATIVE	INDECISIVE	NEGATIVE	CONFLICT	INDECISIVE	INDECISIVE
2a01:d0:bef2::12	16	NEGATIVE	NEGATIVE	NEGATIVE	INDECISIVE	NEGATIVE	CONFLICT	INDECISIVE	INDECISIVE
2001:41d0:a:2496::1	0	CONFLICT	CONFLICT	NEGATIVE	INDECISIVE	NEGATIVE	NEGATIVE	INDECISIVE	CONFLICT
2001:41d0:303:6826::	1	NEGATIVE	NEGATIVE	NEGATIVE	INDECISIVE	INDECISIVE	CONFLICT	INDECISIVE	INDECISIVE
2401:3900:2:1::2	6	NEGATIVE	NEGATIVE	NEGATIVE	POSITIVE	INDECISIVE	CONFLICT	INDECISIVE	INDECISIVE
2a01:4f8:151:52cc::2	0	NEGATIVE	NEGATIVE	NEGATIVE	INDECISIVE	NEGATIVE	NEGATIVE	INDECISIVE	INDECISIVE
2a01:4f9:c010:4969::1	37	NEGATIVE	NEGATIVE	NEGATIVE	INDECISIVE	NEGATIVE	CONFLICT	INDECISIVE	INDECISIVE
2a02:1205:c6aa:60c0:70d8:aaee:a82d:993c	0	NEGATIVE	NEGATIVE	NEGATIVE	INDECISIVE	NEGATIVE	NEGATIVE	INDECISIVE	INDECISIVE
2a01:4f8:c2c:a0d::1	18	NEGATIVE	NEGATIVE	NEGATIVE	POSITIVE	NEGATIVE	CONFLICT	POSITIVE	INDECISIVE
2a02:2698:602a:1019:95ba:a647:8ef7:15b5	0	NEGATIVE	NEGATIVE	NEGATIVE	INDECISIVE	NEGATIVE	NEGATIVE	INDECISIVE	INDECISIVE
2605:e200:d202:300:20c:29ff:fef1:85ec	27	NEGATIVE	NEGATIVE	NEGATIVE	INDECISIVE	INDECISIVE	CONFLICT	POSITIVE	NEGATIVE
2a01:4f8:171:351b::2	0	NEGATIVE	NEGATIVE	NEGATIVE	INDECISIVE	INDECISIVE	NEGATIVE	INDECISIVE	INDECISIVE
2607:5300:60:4192::	1	CONFLICT	CONFLICT	NEGATIVE	INDECISIVE	NEGATIVE	CONFLICT	INDECISIVE	CONFLICT
2602:ffb6:4:2798:f816:3eff:fe2f:5441	1	NEGATIVE	NEGATIVE	NEGATIVE	INDECISIVE	NEGATIVE	CONFLICT	INDECISIVE	INDECISIVE
2a02:8071:82cb:af00:778d:dc56:e57c:b1ce	0	NEGATIVE	NEGATIVE	NEGATIVE	INDECISIVE	NEGATIVE	NEGATIVE	INDECISIVE	INDECISIVE
2002:175f:6692::175f:6692	1	NEGATIVE	NEGATIVE	NEGATIVE	INDECISIVE	NEGATIVE	CONFLICT	POSITIVE	INDECISIVE
2a04:52c0:101:3fb::4c27	12	NEGATIVE	NEGATIVE	NEGATIVE	INDECISIVE	NEGATIVE	CONFLICT	INDECISIVE	NEGATIVE
2607:5300:60:2827::	1	CONFLICT	CONFLICT	NEGATIVE	INDECISIVE	NEGATIVE	CONFLICT	POSITIVE	CONFLICT
2607:7c80:54:10::175	1	NEGATIVE	NEGATIVE	NEGATIVE	INDECISIVE	INDECISIVE	CONFLICT	INDECISIVE	INDECISIVE
2001:4ba0:ffff:1c3::2	18	CONFLICT	CONFLICT	NEGATIVE	INDECISIVE	NEGATIVE	CONFLICT	POSITIVE	CONFLICT
2002:175e:bc32::175e:bc32	1	NEGATIVE	NEGATIVE	NEGATIVE	INDECISIVE	NEGATIVE	CONFLICT	POSITIVE	INDECISIVE
2001:41d0:2:2405::1	0	NEGATIVE	NEGATIVE	NEGATIVE	INDECISIVE	INDECISIVE	NEGATIVE	INDECISIVE	INDECISIVE
2a03:4000:6:416c::43	9	CONFLICT	CONFLICT	NEGATIVE	POSITIVE	INDECISIVE	CONFLICT	INDECISIVE	CONFLICT
2a01:4f8:190:91c4::2	18	NEGATIVE	NEGATIVE	NEGATIVE	INDECISIVE	NEGATIVE	CONFLICT	INDECISIVE	INDECISIVE
2a01:7e00::f03c:92ff:feb3:8966	130	CONFLICT	CONFLICT	NEGATIVE	INDECISIVE	NEGATIVE	CONFLICT	INDECISIVE	CONFLICT
2400:8904::f03c:92ff:feb3:89c6	45	CONFLICT	CONFLICT	NEGATIVE	INDECISIVE	NEGATIVE	CONFLICT	INDECISIVE	CONFLICT
2600:3c02::f03c:92ff:fea7:e787	24	NEGATIVE	INDECISIVE	NEGATIVE	INDECISIVE	NEGATIVE	CONFLICT	INDECISIVE	INDECISIVE
2600:3c00::f03c:92ff:fea7:e702	27	CONFLICT	CONFLICT	NEGATIVE	INDECISIVE	NEGATIVE	CONFLICT	INDECISIVE	CONFLICT
2600:3c03::f03c:92ff:feb3:8902	43	CONFLICT	CONFLICT	NEGATIVE	INDECISIVE	NEGATIVE	CONFLICT	INDECISIVE	CONFLICT
2601:282:847f:e853:ffc:e834:afd5:b0ab	0	NEGATIVE	NEGATIVE	NEGATIVE	INDECISIVE	NEGATIVE	NEGATIVE	INDECISIVE	INDECISIVE
2a01:4f8:c010:285e::1	65	NEGATIVE	NEGATIVE	NEGATIVE	INDECISIVE	NEGATIVE	CONFLICT	POSITIVE	INDECISIVE
2601:58b:101:7420::aecb	1	NEGATIVE	NEGATIVE	NEGATIVE	INDECISIVE	NEGATIVE	CONFLICT	INDECISIVE	INDECISIVE
2a01:4f9:2a:104::2	1	CONFLICT	CONFLICT	NEGATIVE	INDECISIVE	NEGATIVE	CONFLICT	INDECISIVE	CONFLICT
2a02:c207:3005:1280::1	1	CONFLICT	CONFLICT	NEGATIVE	POSITIVE	NEGATIVE	CONFLICT	INDECISIVE	CONFLICT
2001:41d0:8:bc5c::1	0	NEGATIVE	NEGATIVE	NEGATIVE	INDECISIVE	NEGATIVE	NEGATIVE	INDECISIVE	INDECISIVE
2601:442:c300:124:1cc3:f70a:2d96:6cb7	0	NEGATIVE	NEGATIVE	NEGATIVE	INDECISIVE	NEGATIVE	NEGATIVE	INDECISIVE	INDECISIVE
2a02:1205:5009:9080:c879:8d43:87d0:af76	6	NEGATIVE	NEGATIVE	NEGATIVE	INDECISIVE	NEGATIVE	CONFLICT	INDECISIVE	INDECISIVE
2001:41d0:203:a8b::	1	NEGATIVE	NEGATIVE	NEGATIVE	INDECISIVE	NEGATIVE	CONFLICT	POSITIVE	NEGATIVE
2002:5bc:3e21::5bc:3e21	1	NEGATIVE	NEGATIVE	NEGATIVE	INDECISIVE	NEGATIVE	CONFLICT	POSITIVE	INDECISIVE
2a02:c7f:b278:1300:a4b0:5385:dd52:e8f3	0	NEGATIVE	NEGATIVE	NEGATIVE	INDECISIVE	NEGATIVE	NEGATIVE	INDECISIVE	INDECISIVE
2a02:121e:76b9:0:211a:a571:a888:312f	0	NEGATIVE	NEGATIVE	NEGATIVE	INDECISIVE	NEGATIVE	NEGATIVE	INDECISIVE	INDECISIVE
2a01:4f8:190:9005::2	16	NEGATIVE	NEGATIVE	NEGATIVE	INDECISIVE	INDECISIVE	CONFLICT	POSITIVE	INDECISIVE
2a02:1205:c6bd:5e0:f6e3:ea36:9b83:96f2	0	NEGATIVE	NEGATIVE	NEGATIVE	INDECISIVE	NEGATIVE	NEGATIVE	INDECISIVE	INDECISIVE
2a00:1398:4:2a03:215:5dff:fed6:1033	79	CONFLICT	CONFLICT	NEGATIVE	POSITIVE	INDECISIVE	CONFLICT	INDECISIVE	CONFLICT
2a01:4f8:c2c:6fae::1	21	NEGATIVE	NEGATIVE	NEGATIVE	INDECISIVE	NEGATIVE	CONFLICT	POSITIVE	INDECISIVE
2a01:e34:ecb0:e270:3bcb:c1f2:261a:40b4	0	NEGATIVE	NEGATIVE	NEGATIVE	INDECISIVE	INDECISIVE	NEGATIVE	INDECISIVE	INDECISIVE
2a01:4f8:c010:ea1::1	27	NEGATIVE	NEGATIVE	NEGATIVE	INDECISIVE	NEGATIVE	CONFLICT	POSITIVE	INDECISIVE
2002:505d:d5f6::505d:d5f6	1	NEGATIVE	NEGATIVE	NEGATIVE	INDECISIVE	INDECISIVE	CONFLICT	POSITIVE	INDECISIVE
2001:41d0:a:f352::1	12	CONFLICT	CONFLICT	NEGATIVE	INDECISIVE	NEGATIVE	CONFLICT	POSITIVE	CONFLICT
2a01:4f8:1c17:7cf9::1	62	NEGATIVE	NEGATIVE	NEGATIVE	INDECISIVE	NEGATIVE	CONFLICT	POSITIVE	INDECISIVE
2a01:4f8:192:7321::2	1	NEGATIVE	NEGATIVE	NEGATIVE	INDECISIVE	NEGATIVE	CONFLICT	INDECISIVE	INDECISIVE
2a01:4f8:c2c:7158::1	50	NEGATIVE	NEGATIVE	NEGATIVE	INDECISIVE	NEGATIVE	CONFLICT	POSITIVE	INDECISIVE
2001:41d0:8:25d2::	0	CONFLICT	CONFLICT	NEGATIVE	INDECISIVE	INDECISIVE	NEGATIVE	INDECISIVE	CONFLICT
2a01:4f8:c010:2f13::1	70	NEGATIVE	NEGATIVE	NEGATIVE	INDECISIVE	NEGATIVE	CONFLICT	POSITIVE	INDECISIVE
2a01:4f8:c2c:7366::1	52	NEGATIVE	NEGATIVE	NEGATIVE	INDECISIVE	NEGATIVE	CONFLICT	POSITIVE	INDECISIVE
2a01:4f8:211:4c4::2	2	NEGATIVE	NEGATIVE	NEGATIVE	INDECISIVE	NEGATIVE	CONFLICT	INDECISIVE	INDECISIVE
2a01:4f9:2a:a0f::2	1	CONFLICT	CONFLICT	NEGATIVE	INDECISIVE	NEGATIVE	CONFLICT	INDECISIVE	CONFLICT
2a01:4f8:171:16af::2	0	NEGATIVE	NEGATIVE	NEGATIVE	INDECISIVE	NEGATIVE	NEGATIVE	INDECISIVE	INDECISIVE
2405:6580:2140:3a00:c28c:983:364b:5d70	0	NEGATIVE	NEGATIVE	NEGATIVE	INDECISIVE	NEGATIVE	NEGATIVE	INDECISIVE	INDECISIVE
2a01:4f8:c2c:750b::1	59	NEGATIVE	NEGATIVE	NEGATIVE	INDECISIVE	NEGATIVE	CONFLICT	POSITIVE	INDECISIVE
2a01:4f8:c010:2876::1	22	NEGATIVE	NEGATIVE	NEGATIVE	INDECISIVE	NEGATIVE	CONFLICT	POSITIVE	INDECISIVE
2001:470:1c:288::2	51	CONFLICT	CONFLICT	NEGATIVE	INDECISIVE	NEGATIVE	CONFLICT	INDECISIVE	CONFLICT
2a01:4f8:120:80cc::2	1	NEGATIVE	NEGATIVE	NEGATIVE	INDECISIVE	NEGATIVE	CONFLICT	INDECISIVE	INDECISIVE
2a01:4f8:190:42e6::2	14	NEGATIVE	NEGATIVE	NEGATIVE	INDECISIVE	INDECISIVE	CONFLICT	POSITIVE	INDECISIVE
2a01:4f9:2a:b46::2	1	CONFLICT	CONFLICT	NEGATIVE	INDECISIVE	NEGATIVE	CONFLICT	INDECISIVE	CONFLICT
2a01:4f9:c010:518a::1	77	CONFLICT	CONFLICT	NEGATIVE	INDECISIVE	NEGATIVE	CONFLICT	POSITIVE	CONFLICT
2a01:4f9:c010:5995::1	83	CONFLICT	CONFLICT	NEGATIVE	INDECISIVE	NEGATIVE	CONFLICT	POSITIVE	CONFLICT
2001:41d0:303:a309::	1	CONFLICT	CONFLICT	NEGATIVE	INDECISIVE	NEGATIVE	CONFLICT	INDECISIVE	CONFLICT
2a01:4f9:4b:194f::2	1	CONFLICT	CONFLICT	NEGATIVE	INDECISIVE	INDECISIVE	CONFLICT	INDECISIVE	CONFLICT
2001:41d0:203:99c::	1	NEGATIVE	NEGATIVE	NEGATIVE	INDECISIVE	NEGATIVE	CONFLICT	POSITIVE	NEGATIVE
2409:10:a3c0:4a00:c426:6e60:8e59:c7e6	0	NEGATIVE	NEGATIVE	NEGATIVE	INDECISIVE	NEGATIVE	NEGATIVE	INDECISIVE	INDECISIVE
2001:41d0:2:bf8f::	1	CONFLICT	CONFLICT	NEGATIVE	INDECISIVE	NEGATIVE	CONFLICT	INDECISIVE	CONFLICT
2a01:4f8:c2c:d104::1	0	NEGATIVE	NEGATIVE	NEGATIVE	INDECISIVE	NEGATIVE	NEGATIVE	INDECISIVE	INDECISIVE
2a01:4f8:c2c:7523::1	37	NEGATIVE	NEGATIVE	NEGATIVE	INDECISIVE	NEGATIVE	CONFLICT	POSITIVE	INDECISIVE
2a01:4f8:212:1b49::2	1	NEGATIVE	NEGATIVE	NEGATIVE	INDECISIVE	NEGATIVE	CONFLICT	INDECISIVE	INDECISIVE
2a01:4f8:c2c:1b21::1	4	NEGATIVE	NEGATIVE	NEGATIVE	INDECISIVE	NEGATIVE	CONFLICT	POSITIVE	INDECISIVE
2a01:4f8:192:74e1::2	0	NEGATIVE	NEGATIVE	NEGATIVE	INDECISIVE	NEGATIVE	NEGATIVE	INDECISIVE	INDECISIVE
2a01:7a0:2:137a::11	2	NEGATIVE	NEGATIVE	NEGATIVE	INDECISIVE	NEGATIVE	CONFLICT	INDECISIVE	NEGATIVE
2a01:4f8:221:3f4d::2	0	NEGATIVE	NEGATIVE	NEGATIVE	INDECISIVE	NEGATIVE	NEGATIVE	INDECISIVE	INDECISIVE
2600:1700:6b0:d200::ff	11	CONFLICT	CONFLICT	NEGATIVE	INDECISIVE	NEGATIVE	CONFLICT	INDECISIVE	CONFLICT
2a01:7c8:aab5:3e6:5054:ff:fed7:4e54	14	CONFLICT	CONFLICT	NEGATIVE	POSITIVE	NEGATIVE	CONFLICT	POSITIVE	CONFLICT
2a01:4f9:c010:5979::1	86	CONFLICT	CONFLICT	NEGATIVE	INDECISIVE	NEGATIVE	CONFLICT	POSITIVE	CONFLICT
2001:41d0:203:1703::	1	NEGATIVE	NEGATIVE	NEGATIVE	INDECISIVE	NEGATIVE	CONFLICT	POSITIVE	NEGATIVE
2001:41d0:a:176a::1	1	CONFLICT	CONFLICT	NEGATIVE	INDECISIVE	NEGATIVE	CONFLICT	INDECISIVE	CONFLICT
2001:470:83f0:1:6ef0:49ff:fee3:d6ba	0	NEGATIVE	NEGATIVE	NEGATIVE	INDECISIVE	INDECISIVE	NEGATIVE	INDECISIVE	INDECISIVE
2001:985:4898:1:35bf:3aeb:137c:1d35	1	NEGATIVE	NEGATIVE	NEGATIVE	INDECISIVE	NEGATIVE	CONFLICT	POSITIVE	INDECISIVE
2a01:4f9:c010:3cc8::1	29	CONFLICT	CONFLICT	NEGATIVE	INDECISIVE	NEGATIVE	CONFLICT	POSITIVE	CONFLICT
2a01:4f8:c010:25ad::1	53	NEGATIVE	NEGATIVE	NEGATIVE	INDECISIVE	NEGATIVE	CONFLICT	POSITIVE	INDECISIVE
2a01:4f8:1c17:6c91::1	71	NEGATIVE	NEGATIVE	NEGATIVE	INDECISIVE	NEGATIVE	CONFLICT	POSITIVE	INDECISIVE
2a01:4f8:c010:1508::1	55	NEGATIVE	NEGATIVE	NEGATIVE	INDECISIVE	NEGATIVE	CONFLICT	POSITIVE	INDECISIVE
2a01:4f9:c010:43e9::1	16	CONFLICT	CONFLICT	NEGATIVE	INDECISIVE	NEGATIVE	CONFLICT	POSITIVE	CONFLICT
2a01:4f8:150:3461::2	1	NEGATIVE	NEGATIVE	NEGATIVE	INDECISIVE	NEGATIVE	CONFLICT	INDECISIVE	INDECISIVE
2a01:4f8:200:8171::2	0	NEGATIVE	NEGATIVE	NEGATIVE	INDECISIVE	NEGATIVE	NEGATIVE	INDECISIVE	INDECISIVE
2a01:4f9:c010:5401::1	83	CONFLICT	CONFLICT	NEGATIVE	INDECISIVE	INDECISIVE	CONFLICT	POSITIVE	CONFLICT
2a01:4f8:10b:3699::2	21	NEGATIVE	NEGATIVE	NEGATIVE	INDECISIVE	INDECISIVE	CONFLICT	INDECISIVE	INDECISIVE
2a01:4f8:c2c:133b::1	1	NEGATIVE	NEGATIVE	NEGATIVE	INDECISIVE	NEGATIVE	CONFLICT	POSITIVE	INDECISIVE
2a01:4f8:202:33a3::2	0	NEGATIVE	NEGATIVE	NEGATIVE	INDECISIVE	NEGATIVE	NEGATIVE	INDECISIVE	INDECISIVE
2001:610:1908:ff01:f816:3eff:fe33:2e32	1	NEGATIVE	NEGATIVE	NEGATIVE	INDECISIVE	INDECISIVE	CONFLICT	INDECISIVE	INDECISIVE
2001:470:1d:288::1	1	CONFLICT	CONFLICT	NEGATIVE	INDECISIVE	INDECISIVE	CONFLICT	INDECISIVE	CONFLICT
2a01:4f8:c2c:6533::1	7	NEGATIVE	NEGATIVE	NEGATIVE	INDECISIVE	INDECISIVE	CONFLICT	POSITIVE	INDECISIVE
2a02:130:300:1520:1::2	0	NEGATIVE	NEGATIVE	NEGATIVE	INDECISIVE	INDECISIVE	NEGATIVE	INDECISIVE	INDECISIVE
2001:41d0:2:2e54:400:400:93a:21a5	31	NEGATIVE	NEGATIVE	NEGATIVE	INDECISIVE	NEGATIVE	CONFLICT	INDECISIVE	INDECISIVE
2a03:b0c0:2:d0::347b:f001	1	NEGATIVE	NEGATIVE	NEGATIVE	INDECISIVE	INDECISIVE	CONFLICT	INDECISIVE	INDECISIVE
2002:88f3:edbb::88f3:edbb	1	NEGATIVE	NEGATIVE	NEGATIVE	INDECISIVE	INDECISIVE	CONFLICT	POSITIVE	INDECISIVE
2a02:c207:2017:2654::1	1	NEGATIVE	NEGATIVE	NEGATIVE	POSITIVE	NEGATIVE	CONFLICT	POSITIVE	INDECISIVE
2a01:4f8:c0c:bd7::2	11	NEGATIVE	NEGATIVE	NEGATIVE	INDECISIVE	NEGATIVE	CONFLICT	POSITIVE	INDECISIVE
2001:41d0:303:89e8::	0	NEGATIVE	NEGATIVE	NEGATIVE	INDECISIVE	NEGATIVE	NEGATIVE	INDECISIVE	NEGATIVE
2a01:4f9:c010:2227::1	89	CONFLICT	CONFLICT	NEGATIVE	INDECISIVE	NEGATIVE	CONFLICT	POSITIVE	CONFLICT
2a01:4f8:c010:21a8::1	45	NEGATIVE	NEGATIVE	NEGATIVE	INDECISIVE	INDECISIVE	CONFLICT	POSITIVE	INDECISIVE
2001:41d0:303:b482::	45	CONFLICT	CONFLICT	NEGATIVE	INDECISIVE	INDECISIVE	CONFLICT	INDECISIVE	CONFLICT
2a01:4f9:c010:597d::1	77	CONFLICT	CONFLICT	NEGATIVE	INDECISIVE	INDECISIVE	CONFLICT	POSITIVE	CONFLICT
2a01:7a0:2:137c::3	1	NEGATIVE	NEGATIVE	NEGATIVE	INDECISIVE	NEGATIVE	CONFLICT	INDECISIVE	NEGATIVE
